DateTime,name,value
2019-01-01T00:00:00.0,gen-1271,1.0
2019-01-01T01:00:00.0,gen-1271,-0.0
2019-01-01T00:00:00.0,gen-731,1.0
2019-01-01T01:00:00.0,gen-731,-0.0
2019-01-01T00:00:00.0,gen-819,1.0
2019-01-01T01:00:00.0,gen-819,-0.0
2019-01-01T00:00:00.0,gen-1060,1.0
2019-01-01T01:00:00.0,gen-1060,-0.0
2019-01-01T00:00:00.0,gen-467,1.0
2019-01-01T01:00:00.0,gen-467,-0.0
2019-01-01T00:00:00.0,gen-1481,1.0
2019-01-01T01:00:00.0,gen-1481,-0.0
2019-01-01T00:00:00.0,gen-474,1.0
2019-01-01T01:00:00.0,gen-474,-0.0
2019-01-01T00:00:00.0,gen-217,1.0
2019-01-01T01:00:00.0,gen-217,-0.0
2019-01-01T00:00:00.0,gen-1278,1.0
2019-01-01T01:00:00.0,gen-1278,-0.0
2019-01-01T00:00:00.0,gen-672,1.0
2019-01-01T01:00:00.0,gen-672,-0.0
2019-01-01T00:00:00.0,gen-921,1.0
2019-01-01T01:00:00.0,gen-921,-0.0
2019-01-01T00:00:00.0,gen-1041,1.0
2019-01-01T01:00:00.0,gen-1041,-0.0
2019-01-01T00:00:00.0,gen-1979,1.0
2019-01-01T01:00:00.0,gen-1979,-0.0
2019-01-01T00:00:00.0,gen-1874,1.0
2019-01-01T01:00:00.0,gen-1874,-0.0
2019-01-01T00:00:00.0,gen-997,1.0
2019-01-01T01:00:00.0,gen-997,-0.0
2019-01-01T00:00:00.0,gen-150,1.0
2019-01-01T01:00:00.0,gen-150,-0.0
2019-01-01T00:00:00.0,gen-535,1.0
2019-01-01T01:00:00.0,gen-535,-0.0
2019-01-01T00:00:00.0,gen-962,1.0
2019-01-01T01:00:00.0,gen-962,-0.0
2019-01-01T00:00:00.0,gen-1545,1.0
2019-01-01T01:00:00.0,gen-1545,-0.0
2019-01-01T00:00:00.0,gen-229,1.0
2019-01-01T01:00:00.0,gen-229,-0.0
2019-01-01T00:00:00.0,gen-924,1.0
2019-01-01T01:00:00.0,gen-924,-0.0
2019-01-01T00:00:00.0,gen-1978,1.0
2019-01-01T01:00:00.0,gen-1978,-0.0
2019-01-01T00:00:00.0,gen-986,1.0
2019-01-01T01:00:00.0,gen-986,-0.0
2019-01-01T00:00:00.0,gen-1913,1.0
2019-01-01T01:00:00.0,gen-1913,-0.0
2019-01-01T00:00:00.0,gen-2113,1.0
2019-01-01T01:00:00.0,gen-2113,-0.0
2019-01-01T00:00:00.0,gen-697,0.0
2019-01-01T01:00:00.0,gen-697,0.0
2019-01-01T00:00:00.0,gen-2109,1.0
2019-01-01T01:00:00.0,gen-2109,-0.0
2019-01-01T00:00:00.0,gen-2063,1.0
2019-01-01T01:00:00.0,gen-2063,-0.0
2019-01-01T00:00:00.0,gen-857,1.0
2019-01-01T01:00:00.0,gen-857,-0.0
2019-01-01T00:00:00.0,gen-1671,1.0
2019-01-01T01:00:00.0,gen-1671,-0.0
2019-01-01T00:00:00.0,gen-1233,1.0
